ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS00P003	HS00P004	HS00P010	HS00P011	HS00P012	HS00P014	HS00P019	HS00P025	HS00P029	HS00P034	HS00P036	HS00P040	HS00P041	HS00P042	HS00P044	HS00P045	HS00P046	HS00P047	HS00P048	HS00P050	HS00P051	HS00P055	HS00P056	HS00P057	HS00P058	HS00P059	HS00P061	HS00P063	HS00P064	HS00P068	HS00P071	HS00P072	HS00P073	HS00P074	HS00P075	HS00P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196
ASV_78	1.181	12.073	0.110836828888297	0.38437088588475	NotSig	0.277	0.161	0.674	0.606	1.217	0.233	0.262	0.197	0.204	0.049	0.253	0.057	0.076	0.128	0.157	0.473	0.819	0.043	0.007	0.712	0.005	0.054	0.016	0.005	0.084	0	0.544	2.256	0.341	0.003	0.002	0.115	0.485	0.019	0.029	0.034	0.026	0.026	0.161	0.003	0.939	0	0.114	0.259	0.027	1.682	0.001	0.02	0.016	0.004	0.38	0.021	0.037	0.592	0.09	0.033	0.014	0.305	0.012	0.111	0.142	0	0	0.002	0.749	0.106	0.151	0.013	0.387
ASV_14	1.078	14.916	0.111444813067176	0.38437088588475	NotSig	1.991	1.247	0.246	0.119	0.049	0.046	0.301	0.828	0.157	0.513	0.081	0.368	0.04	0.116	0.081	0.155	0.139	0.127	0.596	0.376	0.216	0.433	11.92	11.599	0.69	0.083	0.06	2.634	0.23	3.123	0.25	0.149	5.027	1.264	1.659	6.606	1.32	1.982	3.093	1.623	1.212	9.084	3.802	0.016	2.027	0.474	11.252	0.441	1.228	11.215	0.126	0.375	0.084	0.067	1.559	1.076	1.652	0.014	2.081	0.123	0.792	0.014	2.725	1.475	0.92	0.177	4.054	4.298	0.084
ASV_121	1.36	10.392	0.119703153233267	0.404596657928442	NotSig	0.122	0.045	0.298	0.029	0.076	0.718	0.046	0.674	0.185	0.594	0.182	0.113	0.027	0.344	0.279	0.153	0.171	0.394	0.01	0.004	0.021	0.012	0.001	0.003	0.196	0.006	0.012	0.01	0.399	0	0.002	0.785	0.015	0.002	0.038	0.001	0.003	0.021	0.011	0	0	0.003	0	0	0.002	0.239	0	0.003	0.016	0	0.01	0	0.31	0.11	0.032	0.003	0.004	0.2	0.001	0	0	0	0.004	0	0	0	0.001	0.019	0.081
ASV_116	1.382	10.474	0.126669764091117	0.419748826105859	NotSig	0.133	0.042	0.021	0.475	0.397	0.087	0.054	0.051	0.048	0.222	0.025	0.43	0.386	1.967	0.306	0.491	0.18	0.236	0	0.029	0	0.042	0.006	0.005	0.004	0.001	0.001	0.03	0.778	0.021	0.003	0.01	0.023	0.029	0.01	0.011	0.058	0.027	0.1	0	0.001	0	0.001	0.005	0	0.011	0	0	0.003	0.012	0.034	0	0.391	0.09	0	0.014	0.002	0.022	0.175	0	0.007	0	0	0	0	0	0.012	0.007	0
ASV_36	1.23	11.987	0.129247000176423	0.420052750573374	NotSig	0.343	0.168	0.07	2.124	1.807	0.396	1.672	0.239	0.145	0.179	0.329	0.323	0.597	2.128	1.154	0.82	0.376	0.456	0.009	0.151	0.006	0.062	0.004	0.019	0.035	0.023	0.005	0.243	1.519	0.021	0.022	0.864	0.085	0.138	0.071	0.068	0.045	0.408	0.019	0	0.282	0.035	0.009	0.003	0	0	0	0.005	0.163	0	0.004	0	0.265	0.543	0.095	0.086	0.181	1.118	0.163	0.013	0	0	0.001	0	0	0.046	0.006	0.004	0.343
ASV_166	-1.896	9.359	0.132419147249484	0.422242186512505	NotSig	0.04	0.082	0	0	0.115	0.024	0.007	0	0	0.028	0.021	0.438	0.013	0.439	0.318	0.427	0.06	0.039	0	0	0	0	0	0	0.001	0	0.003	0.002	0	0	0.002	0	0.001	0.005	0.066	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.387	0.01	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_77	1.223	11.056	0.142305045951206	0.438564451068253	NotSig	0.216	0.084	0.056	1.059	0.033	0.019	0.416	0.384	0.188	3.115	0.447	0.345	0.056	1.205	0.44	0.372	0.126	0.15	0	0.184	0.008	0.038	0.001	0.005	0.118	0	0.046	0.03	1.224	0.003	0.007	0.27	0.012	0.055	0.046	0.044	0.009	0.021	0.017	0.001	0	0.003	0	0	0.043	0	0	0.206	0.005	0	0	0.004	0.359	0.151	0.2	0.002	0.041	0.579	0.022	0	0.009	0.011	0.011	0	0.003	0.008	0.001	0.004	0.025
ASV_73	-1.243	11.651	0.143619040399055	0.438564451068253	NotSig	0.17	0.593	0.532	0.127	0.02	0.165	0.106	0.172	0.172	0.326	0.067	0.244	0.213	1.015	0.212	0.4	0.642	0.877	0.023	0.062	0.158	0.015	0.003	0.014	0.014	0.024	0.003	0.003	0.002	0	0	0.094	0.042	0.007	0.035	0.006	0.026	0.044	0.032	0.001	2.58	0.008	0.001	0	0	0.004	0	0	0	0.005	0	0	0.327	0.054	0.047	0.003	9.532	0.082	0.002	0	0	0	0	0	0	0.014	0.003	0.011	0
ASV_188	-0.98	12.133	0.146617722778929	0.438564451068253	NotSig	0.251	0.542	0.009	0.006	0.086	0.253	0.011	0.044	0.141	0.787	0.035	0.103	0.011	0.019	0.083	0.034	0.047	0.008	0.017	0.386	0.011	0.305	0.001	0.032	0.111	0.204	1.441	0.117	0.003	0.002	0.005	0.06	0.002	0.01	0.311	0.011	0	0.008	0.046	0.151	0.077	0.334	0.873	0	0.478	0.136	0.005	2.167	3.423	0.011	0.001	0.121	0.02	0.015	0.095	0.003	0.128	0.412	0.008	0.008	0.147	3.568	0.669	0.005	0.159	0.006	0.55	2.618	0.814
ASV_17	-1	13.711	0.148204893325121	0.438564451068253	NotSig	0.796	1.977	0.059	0.674	1.347	5.542	0.231	0.677	1.353	1.67	2.288	0.224	1.093	0.422	1.06	1.215	0.126	0.138	0.03	0.286	0.011	0.069	0.007	0.061	0.411	0.237	0.384	0.802	0.447	0.133	0.014	12.964	0.048	0.039	0.995	0.448	0.012	0.046	0.022	0.01	0.184	0.344	0.29	0.018	0.262	0.082	0.009	0.295	2.024	0.004	0	0.694	0.079	5.501	0.24	0.015	0.012	24.269	0.003	0.024	0.001	0.012	0.032	0	0.104	0	0.139	0.465	2.714
ASV_123	-1.201	11.457	0.150513243561886	0.438564451068253	NotSig	0.178	0.378	0.014	0.113	0.013	0.04	0.306	0.493	0.164	0.002	4.972	0.048	0	0.076	0.053	0.007	0.006	0	0	0.002	0	0	0.001	0.007	0.385	0.003	0.079	0.002	0.047	0.131	0.07	0	0.125	0	0.04	0.001	0.008	0.018	0.002	0.035	0.664	0.003	0.251	0.4	0.14	0.047	0	0	0.082	0	0.016	0.027	0.059	0.031	0	0	0	0.001	0.006	0.184	0.17	0	0	0.009	0.935	0	0.062	1.909	3.055
ASV_174	1.443	11.513	0.154173141539488	0.44028852524902	NotSig	0.177	0.078	0.005	0.018	0.157	0.01	0.015	0.518	0.076	0.551	0.228	1.182	0.022	0.059	0.032	0.16	0.011	0.025	0.044	0.061	2.66	0.086	0	0.207	0.022	0.006	0.012	0.019	0.003	0	0	0	0.003	0.024	0.021	0.04	0.003	0.007	0	0	0.971	0	0.001	0.053	0.002	0.065	1.3	0.159	0	0	0.01	0	0.032	0.01	0.047	0	0	0	0	0.003	0.009	1.212	0.004	0	0.001	0.004	0.001	0.004	0
ASV_99	-1.057	12.291	0.156315452751132	0.44028852524902	NotSig	0.28	0.596	0.137	0.012	0.001	0.003	0	0.633	0.029	0.401	0.074	0.143	0.009	0.047	0.081	0.048	0.094	0.123	0.33	0.04	0.043	0.017	0.092	1.004	0.027	0.549	0.084	0.008	0.04	0.016	0.019	0.034	0.013	0.133	0.099	0.461	0.075	0.051	3.085	0.001	0.114	2.342	0.003	0	0.002	0.181	0.061	0.578	0.004	2.673	0	0	0.022	0.105	0.007	0.289	0.005	0.032	0.709	0	0.013	0.011	4.907	0	0	0.001	1.525	0.001	2.511
ASV_16	1.613	12.055	0.162539854012213	0.442955523626422	NotSig	0.388	0.155	0.368	5.919	0.816	0.338	1.646	0.134	0.701	0.509	0.654	0.758	0.557	0.607	2.582	1.699	0.013	0.064	0.003	0.158	0.002	0.011	0.021	0.002	0.017	0	0.002	0	0.169	0.126	0.164	1.331	0	0.007	0.002	0.001	0	0.001	0	0.001	0	0	0	0	0	0	0	0	0.019	0	0.004	0.001	0.089	2.205	0.022	0.005	0	0.31	0	0	0	0	0.003	0	0	0.001	0	0	0.001
ASV_108	1.519	9.73	0.164607788170953	0.442955523626422	NotSig	0.082	0.028	0.23	0.025	0.155	0.01	0.218	0.382	0.553	0.031	0.002	0.115	0.305	0.437	0.461	0.521	0.028	0	0	0.002	0	0.007	0	0.002	0.001	0.004	0.002	0.042	0.145	0.002	0	0.336	0.001	0.031	0.026	0.015	0.001	0.004	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0.124	0.323	0	0	0.002	0.01	0.002	0.001	0	0	0.004	0.002	0	0	0	0	0
ASV_80	-1.775	7.316	0.173535923773428	0.442955523626422	NotSig	0.005	0.024	0	0	0.009	0.009	0	0.031	0.003	0	0	0.002	0.036	0	0	0.007	0	0	0	0.059	0.003	0.003	0.006	0	0	0	0	0	0	0	0	0.07	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0.403	0	0	0	0	0	0	0	0	0	0	0
ASV_125	-1.388	10.743	0.173781999657928	0.442955523626422	NotSig	0.053	0.224	0	0.001	0.001	0	0	0.009	0	0.02	0.002	0.002	0.02	0	0	0.002	0.002	0	0	0.015	0.012	0.038	0.015	0.046	0.044	0	0.092	0	0.005	0	0.132	0.013	0	0.002	0.038	0	0.008	0.008	0.009	0	0	0.25	0.005	0	0	0.619	0.134	0.344	0	0.773	0	0	0	0.003	0.019	0.029	0	0	0.003	0	0.006	0.001	3.034	0	0	0.001	0.022	0	0.696
ASV_34	0.809	11.506	0.174239365380129	0.442955523626422	NotSig	0.24	0.13	0.04	0.04	0.068	0.04	0.046	0.477	0.063	0.22	0.037	1.424	0.018	0.021	0.055	0.046	0.024	0.01	0.337	1.019	1.378	0.107	0.256	0.158	0.027	0.252	0.026	0.022	0.162	0.469	0.324	0.008	0.329	0.159	0.718	0.813	0.161	0.412	1.465	0.021	0.068	0.011	0.027	0.022	0.065	0.012	0.025	0.003	0.041	0.051	0.366	0.055	0.099	0.113	0.343	0.526	0.133	0.01	0.05	0.089	0.116	0.369	0.028	0.012	0.189	0.028	0.007	0.095	0.001
ASV_119	1.166	13.574	0.175508542749884	0.442955523626422	NotSig	0.61	0.424	0.005	0.001	0.077	0.032	0.06	0.047	0.066	0.063	0.023	0.012	0.031	0.024	0.018	0.018	0.004	0.004	0.047	0.035	0.002	0.014	0.003	0.042	0.116	0.01	0.063	0.319	0.017	0.017	0.022	0.236	1.051	0.012	0.457	0.101	0.059	0.075	0.04	0	4.18	0.134	1.078	5.008	14.814	0.793	0.003	0.029	0.457	0.009	0.253	0.521	0.007	0.028	0.367	0.005	0.018	0.414	0.015	0.569	0.222	0.18	0.011	0.017	1.567	0.095	0.115	0.306	3.266
ASV_200	1.028	10.53	0.178661565426253	0.442955523626422	NotSig	0.127	0.063	0.038	0.19	0.148	0.072	0.065	0.165	0.087	0.151	0.281	0.147	0.132	0.664	0.451	0.427	0.096	0.205	0.037	0.017	0.014	0.02	0.049	0.051	0.078	0.004	0.021	0.014	1.401	0.028	0.024	0.098	0.233	0.092	0.056	0.011	0.106	0.554	0.086	0	0.001	0	0.001	0	0	0	0	0	0.001	0.005	0.003	0	0.22	0.167	0.06	0.033	0.301	0.075	0.043	0	0.006	0.001	0.004	0	0.004	0.152	0	0.007	0.001
ASV_87	-0.94	13.674	0.179579384807232	0.442955523626422	NotSig	0.741	1.127	0.027	0.175	0.058	0.018	0.06	0.041	0.072	0.26	0.129	2.364	0.038	0.074	0.108	0.158	0.034	0.035	0.059	0.092	0.066	0.088	0.054	0.282	0.195	0.089	0.031	0.076	0.518	12.25	0.375	0.01	0.057	0.473	0.234	0.067	0.813	3.188	0.166	0.013	0.881	0.001	7.561	0.053	0.153	0.001	0.024	0	0.003	0.788	4.58	0.181	0.168	0.123	0.009	0.377	0.035	0.254	1.94	1.618	0.267	0.003	0	0.503	1.177	10.7	0.632	1.339	0.007
ASV_59	0.925	12.284	0.180851663492444	0.442955523626422	NotSig	0.421	0.242	0.19	0.01	0.187	0.193	0.054	0.106	0.019	0.02	0.115	0.263	0.065	0.047	0.032	0.03	0.267	0.183	0.502	0.389	0.388	0.952	0.076	1.691	0.086	0.901	0.036	0.01	0.1	7.798	0.087	0.069	0.068	1.827	0.394	0.384	0.104	0.182	0.656	0.02	0.014	1.087	0.451	0.003	0	0.268	0.085	0.003	0.446	0.004	0.189	0.003	0.054	0.072	0.294	0.034	1.347	0.014	1.461	0.004	0.076	0.018	0.462	0	0.019	0.004	0.004	0.118	0.133
ASV_100	1.294	12.178	0.186418286873233	0.450067006879663	NotSig	0.251	0.153	0.002	0.014	0.012	0.012	0.111	0.09	0.014	0.031	0.002	0.354	0.009	0	0.005	0.011	0	0.002	0.252	0.072	2.449	0.096	1.723	0.012	0.001	0.009	0	0	0.04	0.019	0.26	0	0.179	0.567	0.37	0.007	0.44	1.943	0.124	0.001	0.003	0	0.004	0.55	0.002	0.009	2.212	0.001	0.001	0.001	0.001	0.525	0.02	0.036	0.047	0.241	1.039	0	0.06	0	1.068	0	0	0.008	0.001	0.001	0.072	0	0.003
ASV_3	-0.78	14.067	0.190378230008461	0.453153815090561	NotSig	1.116	1.949	2.176	0.527	1.796	1.744	0.138	1.067	2.544	1.837	6.339	3.204	0.503	0.773	1.912	1.443	1.198	1.203	0.014	4.268	0.057	1.441	0.082	0.24	1.356	0.077	0.718	0.583	1.252	0.045	1.774	0.668	2.356	0.311	0.367	0.144	0.151	0.49	1.625	0.021	1.156	2.714	1.746	0.016	0	1.027	0.001	0.003	0.931	0.407	0.194	1.173	1.491	2.597	11.886	0.113	0.133	3.168	0.05	0.016	0.201	0.003	0.001	0	0.869	4.664	0.01	2.533	5.398
ASV_52	0.954	13.55	0.197852453185141	0.456683968264366	NotSig	0.893	0.558	0.954	0.225	0.007	0.01	0.107	0.019	0.204	1.817	0.023	0.202	0.002	0.036	0.053	0.116	0.032	0.027	0.213	17.373	0.043	0.142	0.431	0.656	0.559	1.166	0.689	0.289	0.033	0	0.108	0.014	0.628	1.035	0.184	0.061	0.216	0.415	0.744	0	0.067	0.46	1.485	0	0.687	3.126	0.262	1.892	7.289	0.361	0.068	0.104	0.037	0.015	0.344	0.06	0.37	0.045	0.62	0.065	0.302	1.343	2.734	0.011	0.011	0.304	0.118	3.029	0.073
ASV_89	-0.883	12.03	0.201686886059975	0.456683968264366	NotSig	0.193	0.506	0.096	0.068	0.071	0.17	0.059	0.44	0.444	0.012	0.145	0.01	0	0.033	0.023	0.046	0.043	0.016	0.112	0.011	0.008	0.053	0.003	0.071	0.093	2.231	0.023	0.145	0.018	0.002	0.007	0.917	0.004	0.012	0.295	0.073	0.005	0.016	0.002	0	0.171	0.184	1.452	0.075	0.237	1.376	0.003	0.003	0.228	0.124	0	0.023	0.067	0.079	0.775	0.015	0.012	1.904	0.006	0.081	0.065	0.001	0.339	0.002	1.551	0	2.297	0.278	1.137
ASV_149	1.152	9.248	0.201781932980726	0.456683968264366	NotSig	0.048	0.026	0.056	0.199	0.019	0.025	0.408	0.139	0.201	0.01	0.048	0.032	0.462	0.159	0.097	0.126	0.075	0.021	0	0.007	0.032	0.024	0.001	0.003	0.001	0	0	0.002	0.012	0.005	0.002	0.06	0.004	0.041	0.04	0.007	0	0.018	0.009	0	0	0	0.011	0	0.003	0	0	0	0.018	0.006	0	0	0.047	0.269	0.094	0.002	0.009	0.003	0.001	0	0	0	0	0	0	0	0	0.015	0.006
ASV_26	-0.742	13.791	0.202670400117322	0.456683968264366	NotSig	0.586	1.061	0.138	0.197	0.142	0.3	0.494	0.354	0.149	0.165	0.407	0.614	0.132	0.214	0.184	0.217	0.073	0.092	0.44	0.209	0.072	0.205	1.447	0.133	0.109	1.469	0.052	0.02	0.538	0.146	0.146	0.008	0.477	0.142	0.402	0.312	0.809	0.505	0.259	7.435	1.087	0.823	0.032	1.317	0.071	0.004	2.41	0.971	0.577	0.909	1.155	0.736	0.193	0.144	0.146	0.547	0.819	0.026	0.052	1.559	1.799	1.412	1.201	1.738	1.192	6.03	0.45	0.711	0.014
ASV_48	-1.071	11.118	0.219182025929447	0.485738366782408	NotSig	0.122	0.26	0.079	0.85	0.536	0.111	0.22	0.276	0.249	0.126	0	0.087	0.195	0.228	0.111	0.464	0.036	0.086	0.059	0.073	0.002	0.008	0.83	0.008	0.045	0.001	0.012	0.002	0.526	0.01	0.015	0.006	0.078	0.224	0.034	0.002	0.126	0.293	0.031	0	0	0	0.001	0	0	0	0	0	0.042	0	0	0.001	0.052	0.092	0	0.009	0	0.475	3.764	0	0	0.018	0.001	0	0	0	0	0.001	0
ASV_159	-0.788	11.648	0.223960243499669	0.485738366782408	NotSig	0.176	0.369	0.113	0.03	0.074	0.083	0.033	0.008	0.214	0.006	0.03	0.055	0.011	0.009	0.016	0.055	0.026	0.047	0.009	0.242	0.006	0.014	0.021	0.022	0.6	0.024	0.293	0.022	0.038	0.11	0.271	0.008	0.107	0.116	0.417	0.021	0.014	0.036	0.078	0.02	0.251	0.378	0.076	0	0.049	0.482	0.004	0.047	3.326	0	0.001	0.872	0.03	0.005	0.06	0.031	0.129	0.003	0.028	0.175	0.116	0.019	0.743	0.003	0.036	0.723	0.003	2.584	1.577
ASV_13	0.779	14.789	0.224186938514958	0.485738366782408	NotSig	2.02	1.402	0.757	0.149	0.103	0.068	0.34	0.123	0.408	0.38	0.053	0.945	0.025	0.104	0.152	0.269	0.193	0.337	0.536	6.967	0.089	0.444	1.463	0.909	15.573	1.232	12.024	1.32	0.08	0.143	3.554	0.051	1.82	1.011	1.5	0.267	1.963	0.433	1.072	0.087	2.113	2.523	2.757	0.024	5.243	3.692	1.041	15.757	7.643	2.509	0.057	0.677	0.183	0.072	3.599	0.535	1.954	0.043	0.872	0.146	1.274	0.072	5.43	0.023	0.717	0.931	0.366	2.34	5.269
ASV_29	-0.616	12.702	0.2316182022295	0.492039889144375	NotSig	0.413	0.468	0.255	0.248	0.089	0.142	0.029	0.43	0.193	0.942	0.269	1.446	0.063	0.083	0.097	0.253	0.086	0.115	0.297	0.066	0.43	0.244	0.793	0.059	0.039	0.304	0.006	0.311	0.155	0.054	0.868	0.297	0.052	0.027	0.074	0.231	0.102	0.973	5.244	0.269	0.227	0.046	0.205	0.256	0.374	0.311	0.068	1.19	0.046	0.04	1.34	0.913	0.084	0.331	0.258	0.56	0.119	0.119	0.263	0.672	0.25	0.806	0.162	1.521	1.085	0.702	0.251	0.306	0.473
ASV_154	-0.743	9.899	0.232918290719231	0.492039889144375	NotSig	0.059	0.101	0.026	0.048	0.035	0.027	0.013	0.022	0.032	0.059	0.025	0.374	0.254	0.138	0.041	0.062	0.051	0.004	0.026	0.02	0.021	0.006	0.004	0.002	0.047	0	0.05	0.005	0.189	0.063	0.01	0.004	0.124	0.157	0.122	0.033	0.059	0.406	0.086	0	0.008	0.003	0.035	0.003	0.243	0.003	0	0	0.011	0.005	0	0.006	0.02	0.051	0.022	0.021	0.36	0.032	0.108	0.023	0.339	0	0.001	0	0	0.187	0.003	0.521	0.025
ASV_49	-0.819	11.839	0.239450516322028	0.497817727764871	NotSig	0.21	0.27	0.579	0.661	1.571	0.065	0.054	0.078	0.106	0.521	0.571	0.162	0.191	0.249	0.454	0.537	0.473	0.08	0.016	0.024	0.005	0.628	0.064	0.022	0.047	0.007	0.022	0.014	0.022	0.028	0.038	0.094	0.003	0.039	0.045	0	0.097	0.182	0.513	0.001	0.381	0.001	0.001	0.003	0.491	0.001	0	0.001	0.004	0.004	1.35	0.001	0.111	1.282	0.017	0.012	0.004	0.071	0.099	1.22	0.5	0	0.001	0	0.007	1.164	0.014	0.019	0.069
ASV_62	-0.75	12.75	0.241544696311949	0.497817727764871	NotSig	0.39	0.551	0.014	0.032	0.004	0.007	0.036	0.059	0.008	0.059	0.028	0.402	0.016	0.024	0.028	0.059	0.015	0.012	0.9	0.121	0.256	0.239	0.089	1.915	0.891	0.849	0.087	0.064	0.03	0.023	0.236	0.113	0.106	1.202	1.008	1.16	0.169	0.261	1.837	0.835	0.434	0.43	1.253	0.03	0.189	0.007	0.7	0	1.537	0.584	0.001	1.119	0.03	0.051	2.08	1.506	0.06	0.007	0.548	1.461	0.004	0	0.548	1.003	0.075	0.024	1.904	0.051	0.01
ASV_126	-0.845	12.687	0.261319976701762	0.525301449461378	NotSig	0.317	0.719	0.015	0.014	0.022	0.001	0.018	0.02	0.002	0	0.028	0.008	0.119	0.028	0.028	0.018	0.006	0	0.049	0.274	0.006	0.024	0.015	0.425	2.126	0.006	0.106	0.258	0.007	0.005	0	0.01	0.012	0.007	4.778	0.095	0.015	0.02	0.02	0.037	1.416	0.154	0.389	1.934	1.001	1.726	0.129	0.149	0.283	0.045	0.001	0.01	0.002	0.026	0.036	0.002	0.067	0.026	0.003	0.393	0.275	0.508	2.367	0.003	5.946	0.001	1.526	0.874	0.168
ASV_84	-1.153	11.409	0.262199595134096	0.525301449461378	NotSig	0.183	0.275	2.379	0.126	0.035	0.956	0.003	0.602	1.331	0.049	0.516	0.479	0.063	0.37	0.074	0.589	0.853	0.062	0.003	0	0.02	0.018	0.001	0.003	0.156	0.006	0.007	0	0	0.003	0	0.075	0.003	0.007	0.325	0.005	0.001	0.003	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	4.603	0.005	0.007	0	0	0	0.002	0	0	0	0.039	0	0	0	0	0.009	0.007
ASV_41	0.846	12.34	0.265696319266952	0.525301449461378	NotSig	0.459	0.247	0.056	0.4	0.295	6.332	0.299	0.415	4.109	0.686	0.451	0.101	0.126	0.147	0.822	0.311	0.101	0.021	0.021	0.086	0.02	0.042	0.006	0.134	0.4	0.111	0.713	0.196	0.119	0.003	0.003	0.181	0.074	0.133	0.747	0.122	0.022	0.026	0.03	0	0.011	0.003	0	0.007	0	0.743	0.009	0.497	3.417	0.005	0.004	0.383	0.02	0.226	0.036	0.007	0.014	0.541	0.01	0.048	0	0.004	0.013	0.005	0.074	0	0.519	0.106	2.573
ASV_169	1.088	9.193	0.268889252827722	0.525301449461378	NotSig	0.05	0.026	0.005	0	0.705	0.01	0.003	0.012	0.027	0.149	0.285	0.242	0.224	0.014	0.016	0.094	0.026	0.027	0	0.011	0	0	0.001	0.012	0.034	0	0.013	0.022	0.269	0.087	0.048	0.01	0.002	0.123	0.002	0.015	0	0	0.02	0	0	0.003	0	0.001	0	0	0	0	0	0	0	0	0.037	0.369	0.002	0	0.005	0.012	0.002	0	0	0	0	0	0.001	0.001	0	0.001	0.018
ASV_71	-0.905	13.068	0.270421456231597	0.525301449461378	NotSig	0.354	0.512	0.014	0.05	0.243	0.223	0.233	0.05	0.011	0.181	0.419	0.107	0.011	0.071	0.217	0.151	0.178	0.018	0.005	0.022	0	0.019	0	0.003	0.095	0	0	3.772	0.114	0.01	0.01	0.224	0.206	0.01	0.026	0.014	0.014	0.04	0.012	0.001	2.554	0	0.004	1.002	1.504	0.004	0.001	0.001	0.005	0.002	5.841	0.024	0.064	0.246	0.011	0.002	0.004	0.04	0.005	4.48	2.261	0.001	0.001	0.003	0.587	0.759	0.118	0.103	0.01
ASV_91	-0.793	11.409	0.280147496185831	0.534639625317031	NotSig	0.114	0.235	0.014	0.226	0.028	0.032	0.008	0.053	0.003	0.236	0.016	0.048	0.025	0.071	0.03	0.059	0	0.049	1.069	0.028	1.096	0.068	0.012	0.119	0.046	0.026	0.014	0.039	0.003	0.003	0	0.006	0.025	0.002	0.006	0.006	0.001	0.023	0.27	0	0.064	0.454	0.021	0.03	0.03	0.001	0.232	0	0	0.232	0.874	0.004	0.005	0.1	0.007	1.2	0	0.052	0	0.55	0.604	0.022	0.079	0.009	0.616	0.152	0.519	0.072	0
ASV_127	1.008	11.06	0.286410676995191	0.534639625317031	NotSig	0.142	0.091	0.119	0.04	0.004	0.003	0.138	0.047	0.011	0	0	0.004	0.007	0.028	0.016	0.007	0.002	0.008	0.002	0.055	0.011	0.031	0.022	0.07	0.278	0.016	0.034	0.662	0	0.009	0.098	0.083	0.046	0.338	0.064	1.172	0.008	0.001	0.004	0	2.624	0	0.087	0	0.002	0	0.003	0	0.001	0.181	0	0.744	0.002	0	1.174	0.036	0	0.066	0.005	0.047	0.001	0	0	0.048	0.025	0	0	0.001	0.138
ASV_311	0.879	9.328	0.287098055480298	0.534639625317031	NotSig	0.057	0.032	0.143	0.048	0.065	0.018	0.078	0.051	0.058	0.081	0.143	0.065	0.02	0.332	0.288	0.34	0.398	0.068	0.005	0.165	0.002	0.012	0.003	0.005	0.044	0.001	0.185	0.005	0.032	0.007	0.043	0.011	0.007	0.019	0.037	0.019	0.001	0.027	0.011	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0.064	0.251	0.013	0.045	0.004	0.133	0.015	0	0	0	0.001	0	0	0	0	0.005	0.013
ASV_136	1.023	10.303	0.287882875170709	0.534639625317031	NotSig	0.089	0.05	0.003	0	0.001	0	0.002	0.003	0	0.008	0.014	0.006	0.004	0.055	0.058	0.158	0.184	0.103	0.017	0.973	0	0.027	0.006	0.036	0.215	0	1.659	0.014	0.017	0.014	0.017	0.001	0.006	0.017	0.018	0.011	0.093	0.146	0.332	0.001	0.003	0.001	0.001	0.001	0	0	0	0	0	0	0.239	0	0.012	0.01	0.009	0.062	0	0.066	0.089	0	0.058	0.001	0	0	0.003	0	0	0.004	0.531
ASV_64	-1.368	11.072	0.2922821889136	0.536909673113027	NotSig	0.097	0.371	0.021	0.25	0.038	0.058	1.974	0.061	0.185	0	0	0.006	0.132	0.005	0.212	0.005	0.006	0.002	0.002	1.043	0.005	0.004	0.003	0	0	0	0.002	0	0	0	0.002	0.844	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	2.128	0.002	0	0	4.164	0	0	0	0	0	0	0	0	0	0	0
ASV_75	0.898	10.559	0.299409296206173	0.54030637964438	NotSig	0.123	0.074	0.981	0.331	0.262	0.126	0.298	0.1	0.284	0.079	0.18	0.107	0.07	0.204	0.088	0.146	1.722	0.033	0.002	0.536	0.08	0.018	0.007	0.005	0.008	0	0.016	0.049	0.012	0.166	0.007	0.011	0.018	0.048	0.051	0.018	0.008	0.007	0.027	0	0	0.003	0	0	0.002	0.033	0	0.001	0	0	0.005	0.001	0.097	0.405	0.013	0.031	0.002	0.388	0.315	0.001	0	0	0	0	0	0.003	0	0	0.007
ASV_151	1.028	9.371	0.300525441932377	0.54030637964438	NotSig	0.063	0.031	0.005	0.246	0.186	0.177	0.033	0.232	0.082	0.242	0.067	0.075	0.211	0.301	0.502	0.263	0.13	0.164	0.002	0.004	0.002	0.014	0.001	0.002	0	0.001	0	0.002	0.037	0	0	0.039	0.003	0	0.002	0.002	0.004	0.09	0.024	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.069	0.305	0.002	0.003	0.057	0.055	0.029	0	0	0	0	0	0	0	0	0	0.001
