ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313
ASV_71	-1.733	17.611	0.718507980139107	0.956124792468575	NotSig	0.512	1.7	0.064	0.246	0.011	0.002	0.004	0.04	0.005	4.48	2.261	0.001	0.001	0.003	0.587	0.759	0.118	0.103	0.01	0.043	0.002	0.163	0.026	0.032	0	0	0.003	0.013	1.756	0	0.001	0	0.023	0.001	0.295	0.329	0.768	20.013	1.328	13.113	5.809	0	0.283	0.194	0.001
ASV_73	3.639	16.54	0.731851303347471	0.956511158038809	NotSig	0.593	0.048	0.327	0.054	0.047	0.003	9.532	0.082	0.002	0	0	0	0	0	0	0.014	0.003	0.011	0	0.055	0.122	0.446	0.299	0.018	0.082	0.066	0.043	0.001	0	0	0	0	0	0	0.006	0.019	0	0.001	0.001	0.004	0.004	0	0.013	0.001	0.056
ASV_94	-0.41	15.841	0.274391522176254	0.843130313596126	NotSig	0.315	0.419	0.057	0.051	0.125	0.426	1.868	0.01	0.448	0	0.062	0.768	0.336	0.661	0.001	0.032	0.104	0.095	0.315	0.104	0.115	0.044	0.237	0.473	0.233	0.126	0.021	0.048	0.021	0.003	1.901	5.87	0	0.001	0.536	0.027	0.018	0.023	0.063	0.022	0.019	0.004	0.052	0.041	0.89
ASV_53	-0.287	12.087	0.0875008791349142	0.764312229221544	NotSig	0.043	0.053	0.188	0.028	0.004	0.435	0	0	0.002	0	0.058	0	0	0	0	0.018	0	0.003	0	0.017	0.055	0.208	0.028	0.031	0.151	0.004	0	0.005	0.013	0	0	0	0.001	0	0.006	0.027	0.036	0.117	0.131	0.057	0.042	0	0.076	0	0.368
ASV_66	5.741	17.069	0.189039041730899	0.832175191030374	NotSig	1.03	0.019	0.007	0.005	0.002	0.088	0.592	0	13.753	1.738	0.007	0.003	0.004	0	1.305	0	0.001	0.001	0	0	0.062	0	0	0.036	0.007	0.013	0	0.113	0	0	0.004	0	0.083	0	0	0.004	0.003	0.004	0.007	0.055	0.107	0	0.002	0	0
ASV_74	0.358	13.959	0.888447517561646	0.987674768429551	NotSig	0.116	0.091	1.592	0.041	0.148	0.002	0.071	0.063	0.034	0	0.006	0	0.001	0	0	0	0.006	0	0.013	0.317	0.283	0.969	0.122	0.009	0.01	0	0.024	0.001	0	0	0.03	0	0	0	0.001	0.094	0.008	0.003	0	0.004	0.009	0	0	0	0.475
ASV_63	-0.505	13.871	0.960251102287166	0.987674768429551	NotSig	0.094	0.133	0.099	0.126	0.009	0.041	0.14	0.815	0.022	0	0.004	0.008	0.003	0	0	0.006	0.035	0.035	0.253	0.44	0.507	0.194	0.147	0.01	1.499	0.012	0.304	0.004	0.006	0.003	0	0.025	0	0.044	0.043	0.087	0.006	0.01	0.068	0.025	0.028	0	0	0.001	0
ASV_90	3.332	16.423	0.0929063254248484	0.764312229221544	NotSig	0.794	0.079	0.121	0.023	8.788	0.098	0.089	0.012	0.29	0.021	0.004	0.083	1.54	0	0.001	0.046	0.111	2.263	0.011	0.067	0.065	0.102	0.1	0.501	0.393	0.001	0.004	0.223	0.143	0	0.03	0.001	0.004	0.246	0	0.053	0.052	0	0.044	0.004	0.001	0	0	0	0.017
ASV_119	0.548	14.995	0.167994364663396	0.832175191030374	NotSig	0.424	0.29	0.007	0.028	0.367	0.005	0.018	0.414	0.015	0.569	0.222	0.18	0.011	0.017	1.567	0.095	0.115	0.306	3.266	0.065	0.005	0.017	0.004	0.013	0.005	0.003	0.036	0.017	0.078	0.001	0.046	0	0.007	0.077	1.598	0.034	0.251	0.986	0.121	0.775	0.5	0	0.103	0.04	2.754
ASV_881	1.166	16.516	0.656902344470157	0.918918533679028	NotSig	0.577	0.257	9.373	0.113	0.157	0.003	0.009	0.005	0	0	0.004	0.001	0	0	0	0.054	0	0.086	0.007	0.072	0.067	6.162	0.289	0.004	0.017	0	0.008	0.032	0.006	0	0.001	0	0	0	0.006	0.014	0.005	0.001	0.001	0.001	0.003	0	0	0	0
ASV_86	2.288	14.861	0.269462872304841	0.843130313596126	NotSig	0.43	0.088	0.057	2.476	0.075	0.289	0	0.016	0	0	0.254	2.975	0.01	1.051	0	0	0.1	0	0	0	0	0.102	1.107	0.486	0.122	0.001	0.008	0.004	0.158	0	0.03	0.246	0.001	0.003	0.011	0	0	0	0.007	0	0	0	0	0	0
ASV_88	1.842	14.525	0.0938400673135273	0.764312229221544	NotSig	0.485	0.135	0.017	0.041	0.12	0.081	0.044	0.007	0.005	0.262	0.279	0.437	2.031	0.005	0.58	0.369	0.814	2.358	0.796	0.08	0.031	0.044	0.006	0.512	0.043	0.553	0.003	0.006	0.301	0.047	0.055	0.003	0.005	0.101	0.06	0.007	0.032	0.399	0.157	0.376	0.129	0.004	0.12	0.261	0.179
ASV_79	0.885	15.073	0.218783194181993	0.832175191030374	NotSig	0.274	0.149	0.084	0.877	0.021	0.005	0.05	3.447	0.019	0.005	0	0.004	0.004	0	0.001	0.001	0.006	0.075	0.066	0.039	0.309	0.097	0.701	0.045	0.002	0.01	1.325	0.074	0	0.029	0.004	0.046	0.375	0.055	0.405	0.093	0.008	0.013	0.159	0.003	0.036	0.001	0.005	0.022	0.007
ASV_77	-0.249	13.041	0.245913325100481	0.832175191030374	NotSig	0.084	0.1	0.359	0.151	0.2	0.002	0.041	0.579	0.022	0	0.009	0.011	0.011	0	0.003	0.008	0.001	0.004	0.025	0.158	0.843	0.471	0.186	0.007	0.002	0.001	0.717	0.023	0.003	0.003	0.008	0	0.012	0	0.04	0.004	0.106	0.001	0.007	0.001	0	0	0	0	0
ASV_124	0.169	14.698	0.510209820393251	0.895966634178248	NotSig	0.236	0.21	0.025	0.118	0.071	0.394	0.051	0	2.658	0	0.311	0.16	0.003	0.017	0.021	0.166	0.013	0.011	0.001	0.118	0.083	0.039	0.041	0.178	0.043	1.625	0	0.031	0.015	0.058	1.122	0.712	0.011	0.013	0.161	0.018	0.866	0.062	0.029	0.055	0.099	0	0.04	0.005	0.042
ASV_99	1.665	15.583	0.334852021462589	0.879648483156521	NotSig	0.596	0.188	0.022	0.105	0.007	0.289	0.005	0.032	0.709	0	0.013	0.011	4.907	0	0	0.001	1.525	0.001	2.511	0.086	0.057	0.039	0.169	0.047	0.067	0.079	0.008	0.047	0.126	0	3.728	0.001	0.001	0	0.006	0	0	0	0.001	0	0	0.011	0	0.006	0.412
ASV_85	-2.078	16.097	0.0105854555717298	0.567376479506837	NotSig	0.131	0.553	0.032	0.026	0.017	0.053	0.028	0.052	0.074	0.246	0.128	0.001	0	0.019	0.33	1.156	0.014	0.031	0.02	0.192	0.531	0.036	0.026	0.026	0.235	0.01	0.071	7.009	0.024	0.376	0.037	0.225	0.104	0.807	2.677	0.05	0.259	0.427	0.229	0.185	0.123	0.034	0.138	0.512	0.038
ASV_75	-1.849	14.444	0.319914217484522	0.879648483156521	NotSig	0.074	0.267	0.097	0.405	0.013	0.031	0.002	0.388	0.315	0.001	0	0	0	0	0	0.003	0	0	0.007	1.827	0.075	0.194	1.276	0.013	0.038	0	0.934	0.087	0	0	0	0	0.061	2.229	0.094	0.016	0.023	0.006	0.051	0.014	0.009	0	0	0	0
ASV_84	1.421	15.49	0.75333268246821	0.960814877657458	NotSig	0.275	0.103	4.603	0.005	0.007	0	0	0	0.002	0	0	0	0.039	0	0	0	0	0.009	0.007	0.07	0.089	2.29	0.107	0.006	0.012	0	0.006	0.002	0	0	0.003	0	0	0	0	0.078	0.001	0	0	0	0	0	0	0	0.006
ASV_106	0.326	16.695	0.20336367919192	0.832175191030374	NotSig	0.577	0.461	0.005	0	0.019	0.007	0.431	0	0.065	0.005	0.809	6.411	0	0.107	0.738	1.213	0.001	0.001	0	0	0.018	0	0.013	0.053	0.192	10.612	0	0.057	0	0.302	0.006	0.639	0.004	0.001	0	0.003	0.057	0.003	0.003	0.001	0.011	0	0	0	0
ASV_76	-0.483	15.524	0.452836793104245	0.879648483156521	NotSig	0.269	0.376	0.203	0.144	0.095	0.072	0.3	0.086	0.017	0.094	0.124	0.004	0.014	0.005	0.442	2.263	0.012	0.577	0.127	0.185	0.265	0.332	0.152	0.074	0.307	0.022	0.032	0.028	0.036	0.424	0.008	0.041	0	0.357	0.029	4.712	0.151	0.92	0.264	0.151	0.36	0.016	0.426	0.43	0.067
ASV_78	-0.359	14.025	0.813378362627812	0.987674768429551	NotSig	0.161	0.207	0.037	0.592	0.09	0.033	0.014	0.305	0.012	0.111	0.142	0	0	0.002	0.749	0.106	0.151	0.013	0.387	0.142	0.083	0.086	0.509	0.022	0.014	0.007	0.446	0.014	0.011	0.004	0.001	0.001	0.044	0.32	0.245	0.025	1.667	0.048	0.69	0.208	0.772	0	0.003	0	0.017
ASV_83	0.343	14.348	0.979415332250637	0.99114485718777	NotSig	0.131	0.104	2.085	0.054	0.026	0.002	0.005	0.004	0.008	0	0.007	0	0	0	0	0	0.01	0.033	0	0.503	1.086	0.701	0.237	0.003	0.062	0	0	0	0	0	0.001	0	0	0.003	0	0.016	0	0	0.004	0.006	0.007	0	0.031	0.001	0.034
ASV_64	-1.245	17.589	0.378874520791955	0.879648483156521	NotSig	0.371	0.879	0.007	2.128	0.002	0	0	4.164	0	0	0	0	0	0	0	0	0	0	0	1.447	0.081	0.008	1.567	0.012	0	0	19.713	0.006	0	0	0	0	0	0.004	0	0	0.003	0	0.001	0	0	0	0	0	0
ASV_97	-0.042	14.075	0.911988113968946	0.987674768429551	NotSig	0.264	0.271	0.149	0.1	0.223	0.796	0.135	0.027	0.332	0.039	0.264	0.007	0.006	0.014	0.277	1.614	0.081	0.053	0.365	0.438	0.14	0.114	0.485	0.013	0.468	0.01	0.003	0.036	0.021	0.755	0.073	0.016	0	0.016	0.06	0.029	0.049	0.524	0.265	0.217	1.726	0.333	0.443	0.319	0.502
ASV_89	1.149	15.085	0.196449485385331	0.832175191030374	NotSig	0.506	0.228	0.067	0.079	0.775	0.015	0.012	1.904	0.006	0.081	0.065	0.001	0.339	0.002	1.551	0	2.297	0.278	1.137	0.087	0.088	0.047	0.013	0.092	0.055	0.006	0.025	0.005	0.116	0.001	0.004	0.001	3.476	0.005	0.001	0.023	0.515	0.059	0.596	0.333	0.309	0	0.01	0.004	0.064
ASV_70	-0.228	12.022	0.633261241376237	0.904563854045683	NotSig	0.074	0.087	0.035	0.085	0.002	0.003	0.007	0.265	0.002	0.402	0.006	0	0	0	0.094	0.098	0.058	0.196	0.007	0.17	0.159	0.302	0.135	0.001	0	0.002	0.081	0	0.354	0	0	0.001	0	0	0.029	0.007	0.012	0.416	0.309	0.15	0.05	0	0.08	0	0
ASV_100	0.513	13.383	0.207616554082211	0.832175191030374	NotSig	0.153	0.107	0.02	0.036	0.047	0.241	1.039	0	0.06	0	1.068	0	0	0.008	0.001	0.001	0.072	0	0.003	0.19	0.167	0.006	0.019	0.193	0.149	0.012	0	0.115	0	0	0.668	0.003	0.001	0	0.076	0.087	0.102	0.146	0.379	0.155	0.109	0.134	0.001	0.068	0.001
ASV_93	-0.746	12.027	0.368191429068243	0.879648483156521	NotSig	0.034	0.057	0.228	0.097	0.006	0.002	0.016	0.151	0.007	0.001	0.003	0.022	0.011	0	0.001	0.001	0.007	0.009	0.015	0.149	0.417	0.299	0.214	0.003	0.002	0	0.251	0.049	0.003	0.009	0.01	0	0.013	0	0.033	0	0.027	0	0.001	0.001	0.001	0	0	0	0
ASV_118	-0.818	13.223	0.908134645661484	0.987674768429551	NotSig	0.071	0.126	0.02	0.356	0.002	0.019	0.035	0	0.045	0	0	0.119	0	0.003	0.23	0.384	0	0.001	0	0	0	0.003	0.25	0.06	0.379	0.014	0	0.127	0	0.472	0	0.001	0	0	0.472	0.026	0.956	0.013	0.435	0.029	0.038	0	0	0	0
ASV_98	4.789	16.946	0.0716281927866566	0.764312229221544	NotSig	1.015	0.037	0.087	0.103	0.002	0.915	0	0	0	12.625	0.004	0.014	0.001	0.015	3.482	0	0	0.013	0	0.149	0.029	0.097	0.004	0.641	0.017	0	0.001	0	0.008	0	0.003	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_61	0.342	12.435	0.521000065291136	0.895966634178248	NotSig	0.037	0.029	0	0.554	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.012	0.057	0.01	0.218	0.011	0.265	0	0	0	0.007	0	0	0	0	0	0	0	0.233	0.003	0	0	0.003	0	0.004	0	0	0	0
ASV_117	-2.251	16.399	0.940594176280189	0.987674768429551	NotSig	0.174	0.827	0.243	0.241	0.017	0.034	0.17	0	0.007	0.645	0.038	0.44	0.191	0.002	0.4	0.112	0.188	0.215	0.013	0.041	0.039	0.31	0.062	0.128	0.103	1.116	0.001	0.014	0.057	0.099	0.475	8.103	0.008	1.234	0.157	0.003	0.229	0	0.032	0.001	0.04	8.641	0.023	0.328	0.249
ASV_104	-1.873	16.587	0.599637426690491	0.904563854045683	NotSig	0.122	0.447	0.007	0.036	0	0.003	0.007	0	0.01	0.578	0.029	0	0.149	0	0.391	0.02	0.843	0.001	0	0.072	0.193	0.008	0.038	0.064	0.098	0.002	0	0.002	0	0.068	0.108	0	0.009	0.004	0	0	0.29	0.003	0.026	0.003	0.004	9.844	0.025	0.469	0.289
ASV_105	-3.659	17.046	0.929210024864156	0.987674768429551	NotSig	0.085	1.071	0.072	0.256	0	0.072	0.264	0.015	0.001	0.154	0	0	0	0.009	0.378	0.004	0.211	0.003	0.001	0	0.002	0.069	0.024	0.254	0	13.531	0	0	0.113	0	0	0	0	0	0	0.094	0.148	1.358	0.715	8.074	0.802	0	0.468	2.179	0.004
ASV_136	-4.18	16.883	0.303953693566644	0.879648483156521	NotSig	0.05	0.902	0.012	0.01	0.009	0.062	0	0.066	0.089	0	0.058	0.001	0	0	0.003	0	0	0.004	0.531	0.046	0	0	0.021	0.006	0.065	0	0.067	0.047	0.001	12.085	0.22	0	0	0.079	9.062	0.027	0.106	0.036	0.481	0.435	0.681	0	0	0	0
ASV_174	-3.479	17.734	0.260641800106567	0.843130313596126	NotSig	0.078	0.871	0.032	0.01	0.047	0	0	0	0	0.003	0.009	1.212	0.004	0	0.001	0.004	0.001	0.004	0	0.048	0.347	0.033	0.015	0.201	0.014	0	0	0	0	0.003	0.015	21.801	0	0.021	0.001	0	0.009	0.001	0	0	0.007	0.049	0.033	0.021	0.018
ASV_112	-1.145	14.029	0.142615906553068	0.832175191030374	NotSig	0.096	0.213	0.022	0	0.009	0.009	0.08	0	0.078	0.006	0.015	0.014	0.192	0.003	0.008	0.004	0	0.432	0.766	0.233	0.047	0.006	0.006	0.592	0.024	0.014	0.001	0.183	0.003	0	0.019	0.047	0.017	1.672	0.004	0.038	1.17	0.017	0.867	0.013	0.008	0.183	0.04	0.217	0.116
ASV_111	0.343	11.54	0.731851303347471	0.956511158038809	NotSig	0.049	0.039	0.213	0.023	0.051	0.036	0.062	0.001	0.012	0	0	0	0.298	0	0	0.007	0	0.001	0.133	0.003	0.179	0.199	0.107	0.012	0.043	0.001	0	0.01	0	0	0	0	0	0.001	0.026	0.15	0.003	0.001	0.009	0.01	0.032	0	0	0	0.224
ASV_126	1.569	15.86	0.49866708772384	0.895966634178248	NotSig	0.719	0.242	0.002	0.026	0.036	0.002	0.067	0.026	0.003	0.393	0.275	0.508	2.367	0.003	5.946	0.001	1.526	0.874	0.168	0.06	0.003	0.017	0.013	0.099	0.014	1.26	0	0.025	1.166	0.019	0.199	0.001	0.077	0.015	0.01	0.011	0.639	0.017	1.432	0.017	0.004	0.269	0.126	0.446	0.363
ASV_96	-1.076	12.433	0.242861892870042	0.832175191030374	NotSig	0.011	0.023	0	0	0.167	0.015	0	0	0.001	0.001	0	0	0.001	0	0	0	0	0	0	0	0.005	0.003	0	0.553	0.005	0.013	0	0.004	0	0	0	0.001	0	0	0	0	0	0.003	0	0.003	0.007	0.001	0	0.002	0
ASV_130	-0.669	12.637	0.970142080232577	0.987674768429551	NotSig	0.04	0.064	0.22	0.133	0.026	0	0.019	0.178	0.002	0	0.009	0.006	0.011	0	0	0	0.013	0.057	0.01	0.116	0.268	0.307	0.079	0.01	0.007	0.002	0.637	0.098	0.001	0	0.035	0	0.001	0.003	0.003	0.052	0.008	0.001	0.01	0.014	0.011	0.002	0	0.001	0
ASV_137	-1.046	13.775	0.350060732083819	0.879648483156521	NotSig	0.07	0.144	0.002	0.008	0	0.005	0	0	0.015	0.029	0.099	0.286	0.312	0.327	0.018	0.052	0.029	0	0.006	0.026	0.013	0	0.004	0.044	0.002	0.004	0	0.065	0.138	0.084	1.402	0.36	0.231	0.04	0.304	0.014	0.629	0.041	0.201	0.085	0.026	0	0.011	0.021	0
ASV_107	-4.884	18.65	0.258356622847586	0.843130313596126	NotSig	0.058	1.721	0.79	0.046	0.002	0.003	0.009	0	0.003	0	0	0	0	0.002	0	0.004	0	0	0.131	0.005	0.019	0.451	0.092	0	0.005	0	0	0.001	0.021	0	0	0	0	0	1.911	41.14	0.207	0.109	0.329	0.189	0.189	0	0	0	0.067
ASV_109	0.546	14.051	0.296177813205507	0.878141235644397	NotSig	0.161	0.11	0.012	0.005	0.007	0.378	0.007	0.321	0.069	0	0.023	0	0	1.698	0.01	0.036	0.03	0.057	0.085	0.014	0.019	0.006	0.013	0.006	0.808	0	0.004	0.017	0.025	0.042	0.006	0	0	0.005	0.001	0.001	0.001	0.014	0.131	0.015	0.049	1.65	0.007	0.022	0.013
ASV_189	0.022	13.24	0.368549421813501	0.879648483156521	NotSig	0.159	0.157	0.099	0.026	0.015	0.055	0.223	0.026	0.315	0.011	0.217	0.506	0.712	0.084	0.016	0.107	0.179	0.108	0.003	0.158	0.205	0.072	0.047	0.007	0.098	0.025	0.013	0.056	0.062	0.595	0.881	0.967	0.005	0.023	0.422	0.044	0.027	0.032	0.047	0.015	0.013	0.168	0.004	0.079	0.006
ASV_92	0.733	8.418	0.526616809639403	0.895966634178248	NotSig	0.006	0.004	0.022	0.026	0	0.024	0.007	0.004	0.006	0	0	0	0	0	0	0	0	0	0.011	0.002	0.002	0.022	0.034	0.001	0.01	0.002	0.015	0.002	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0
ASV_82	0.182	10.87	0.869766189071817	0.987674768429551	NotSig	0.018	0.016	0.082	0.187	0.013	0.002	0.004	0.012	0	0	0	0	0.003	0	0	0	0	0	0.004	0.057	0.042	0.111	0.15	0.004	0	0	0.022	0.004	0	0	0	0	0	0	0.017	0	0	0	0.003	0	0.003	0	0	0.001	0
ASV_95	-0.596	13.572	0.246205677819637	0.832175191030374	NotSig	0.044	0.067	0.161	0.156	0	0	0	0.432	0	0	0	0.003	0	0	0	0	0	0	0	0.007	0.096	0.191	0.073	0.003	0.002	0	1.218	0.007	0	0	0	0.001	0	0	0	0.016	0	0	0.003	0	0.122	0	0	0	0
ASV_110	-0.925	16.046	0.467849584735984	0.895966634178248	NotSig	0.207	0.394	0.012	0.021	0.073	0.021	0.002	0.023	0.006	0.087	0.391	0.52	0.212	0.077	0.108	0.141	0.861	0.41	0.559	0.067	0.006	0.014	0.019	6.764	0.036	0.148	0.008	0.041	0.074	0.508	0.22	0.004	0.001	0.494	0.019	0.003	0.024	0.034	0.632	0.109	0.045	0.038	0.468	0.394	0.064
ASV_80	-4.352	16.954	0.562208498082403	0.895966634178248	NotSig	0.024	0.489	0	0	0.004	0	0	0.403	0	0	0	0	0	0	0	0	0	0	0	0.003	0.006	0	0.002	0.006	0	0	12.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_114	-1.862	15.521	0.113948697506657	0.764312229221544	NotSig	0.225	0.817	0.002	0.026	0.009	0.115	0.055	0.001	0.65	0	0.18	0	0	0	0.001	0.061	1.531	1.189	0	0.13	0.01	0.003	0.013	0.006	0.002	3.545	0.001	0.013	0.599	0.086	0.006	0.003	0	0.001	0.003	0.057	4.702	1.015	0.613	3.768	1.785	0	3.205	1.196	0.482
ASV_199	0.089	15.997	0.548565659043692	0.895966634178248	NotSig	0.42	0.395	0	0.003	0.007	0.003	0	0.04	0.009	2.355	0.619	0.004	0.003	0	3.782	0.089	0.058	0.164	0.01	0.007	0.003	0	0	0.006	0.002	0	0	0.026	0	0.003	0.075	0.003	0	0.043	0.006	0.033	0.086	0.098	6.541	0.701	0.331	0	0.011	0.025	2.277
ASV_159	2.052	14.657	0.221482084682292	0.832175191030374	NotSig	0.369	0.089	0.03	0.005	0.06	0.031	0.129	0.003	0.028	0.175	0.116	0.019	0.743	0.003	0.036	0.723	0.003	2.584	1.577	0.113	0.068	0.028	0.058	0.012	0.01	0.003	0	0.061	0.021	0.099	0.984	0.001	0.004	0.18	0.097	0.023	0.003	0.006	0.162	0.001	0.013	0.053	0.053	0.251	0.007
ASV_116	-0.903	13.039	0.356189274845112	0.879648483156521	NotSig	0.042	0.079	0.391	0.09	0	0.014	0.002	0.022	0.175	0	0.007	0	0	0	0	0	0.012	0.007	0	0.296	0.294	0.842	0.263	0.004	0.002	0.001	0.197	0.001	0	0	0.001	0	0	0	0.007	0.005	0.039	0.001	0.003	0.008	0.023	0	0.007	0.011	0.048
ASV_122	2.882	13.908	0.211367410880506	0.832175191030374	NotSig	0.307	0.042	0.042	0.008	1.022	0.036	1.537	0	0.039	0.025	0.076	1.343	0.027	0	0.011	1.047	0.003	0.008	0	0.039	0.015	0.055	0.038	0.2	0.082	0.049	0	0.023	0.001	0	0.4	0.012	0.001	0	0	0.005	0.003	0	0.06	0	0.004	0.063	0	0.02	0.014
ASV_120	0.62	14.976	0.415591801447179	0.879648483156521	NotSig	0.355	0.231	0.01	0	0.017	0.026	3.223	0.021	0.009	0	2.687	0.018	0	0.003	0	0.004	0	0.001	0.01	0.005	0.003	0.011	0.049	0.007	0.319	0.093	0.001	0.007	0.007	0.006	2.166	0.015	0	0	0.054	0.025	0.05	0.065	0.118	0.97	2.026	0	0	0	0
ASV_91	-0.152	15.42	0.22292927362318	0.832175191030374	NotSig	0.235	0.261	0.005	0.1	0.007	1.2	0	0.052	0	0.55	0.604	0.022	0.079	0.009	0.616	0.152	0.519	0.072	0	0.007	0.058	0.008	0.908	0.023	0.094	0.001	0.004	0.006	0.119	0.004	0	0	0.001	0	0.004	0.068	0.061	0.439	0.089	0.409	4.386	0.003	0.047	0.002	0.036
ASV_152	0.222	14.772	0.530507383611623	0.895966634178248	NotSig	0.258	0.221	0.121	0.244	0.004	0	0.005	0.384	0.01	0.385	0.616	0.004	0.013	0.017	0.646	0.247	0.547	0.132	1.014	0.053	0.023	0.105	0.1	0.01	0.017	0.001	0.497	0.277	0.078	0.031	0.475	0.004	0.007	0.019	0.16	0.056	0.372	0.079	2.798	0.357	0.06	0.054	0.003	0.029	0.092
ASV_129	-2.58	15.265	0.268920938426074	0.843130313596126	NotSig	0.06	0.358	0.035	0.041	0.006	0.126	0.027	0.004	0.025	0.064	0.158	0.049	0	0.008	0.214	0.145	0.095	0.021	0	0.247	0.102	0.03	0.06	0.006	0.055	0.001	0.001	0.004	0.067	0.392	0.048	0.01	0	1.176	3.937	0.01	0.012	0.06	0.258	0.099	0.305	0.014	0.129	0.102	2.175
ASV_176	2.099	15.638	0.183286339882293	0.832175191030374	NotSig	0.713	0.166	0.005	0	2.559	0.003	0.218	0.003	0.082	0.003	0.346	0.008	3.074	0.011	0	0.699	0.001	0.005	5.098	0.017	0.002	0	0	0.267	0.041	0.003	0	1.201	0.001	0.001	0.848	0.001	0.873	0.003	0.425	0.042	0.444	0.001	0.007	0.001	0.004	0.002	0	0.001	0.138
ASV_200	-1.12	14.102	0.432968335060653	0.879648483156521	NotSig	0.063	0.137	0.22	0.167	0.06	0.033	0.301	0.075	0.043	0	0.006	0.001	0.004	0	0.004	0.152	0	0.007	0.001	0.142	0.183	0.21	0.348	0.035	0.07	0.009	0.006	0.01	0	1.759	0	0.003	0.003	0	0.047	0.008	0.018	0.237	0.061	0.02	0.313	0	0.007	0.045	0.041
ASV_103	-0.04	14.593	0.0796792693295074	0.764312229221544	NotSig	0.189	0.195	0.054	0.028	0.007	0.315	0.053	0	2.472	0.005	0.129	0	0.018	0.009	0.016	0.052	0.014	0.045	0	0.036	0.057	0.072	0.028	0.019	0.276	0.04	0	0.055	0.001	0.257	0.069	0	0.004	0.502	0.054	0.014	0.04	0.047	0.023	0.064	0.443	0.818	0.673	1.122	0.348
ASV_154	-2.093	15.951	0.0404018305020597	0.682790935484808	NotSig	0.101	0.43	0.02	0.051	0.022	0.021	0.36	0.032	0.108	0.023	0.339	0	0.001	0	0	0.187	0.003	0.521	0.025	0.036	0.274	0.033	0.049	0.007	0.048	0.007	0.031	1.056	0.003	0.06	0.48	0.318	0.122	0.354	6.335	0.019	0.613	0.018	0.482	0.027	0.056	0.381	0.072	0.246	0.041
ASV_148	0.001	11.076	0.603044563836957	0.904563854045683	NotSig	0.01	0.01	0	0.003	0	0.136	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.002	0.001	0.216	0	0	0.038	0	0.001	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0
ASV_209	0.552	14.546	0.188691031785065	0.832175191030374	NotSig	0.273	0.186	0.193	0.062	0.022	0.126	2.391	0.01	0.02	0	0	0	0	0.002	0	1.814	0	0.003	0	0.014	0.031	0.21	0.073	0.031	0.357	0.02	0	0.016	0.239	0	0	0	0	0	0	0.063	0.024	0.024	0.051	0.217	1.322	0.142	0.09	1.721	0.196
ASV_115	0.384	12.763	0.90534889030188	0.987674768429551	NotSig	0.061	0.047	0.339	0.062	0.002	0	0.394	0.23	0.003	0	0.001	0	0.001	0	0.001	0	0	0	0	0.043	0.174	0.695	0.1	0	0	0.008	0.035	0.001	0	0	0.01	0	0	0	0.006	0.001	0	0	0.001	0	0.007	0	0	0	0.131
ASV_188	2.078	15.123	0.109709640248244	0.764312229221544	NotSig	0.542	0.128	0.02	0.015	0.095	0.003	0.128	0.412	0.008	0.008	0.147	3.568	0.669	0.005	0.159	0.006	0.55	2.618	0.814	0.005	0.01	0.017	0.009	0.133	0.012	0.007	0.039	0.022	0.001	0.044	0.003	1.011	0.235	0.122	0.037	0.064	0.29	0.006	0.117	0.008	0.001	0	0.006	1.073	0.07
ASV_203	1.961	15.637	0.0261974700966588	0.594066475104061	NotSig	0.894	0.23	0.007	0.103	0.019	0.146	0.046	0.095	0.019	1.861	1.861	2.235	0.162	5.095	0.541	0.687	0.99	1.332	0.003	0.027	0.047	0.008	0.045	0.193	0.012	1.15	0.015	0.011	2.019	0	0.062	0.003	0.001	0.132	0.001	0.008	0.273	0.055	0.114	0.491	0.034	0.058	0.777	0.435	0
ASV_146	-0.057	12.217	0.537154389905377	0.895966634178248	NotSig	0.045	0.047	0.072	0.128	0.006	0	0.03	0.476	0.012	0	0	0	0.007	0	0	0.001	0.003	0.001	0.028	0.012	0.39	0.097	0.081	0.004	0.005	0.002	0.289	0.098	0	0.028	0.026	0.028	0.013	0	0.084	0.045	0.004	0	0.004	0	0.003	0.001	0	0	0
